Школа № 354 им. Д. М. Карбышева;107005, Лефортовский пер., д. 8/10
Школа № 368 «Лосиный остров»;107065, ул. Уссурийская, д. 12
Школа № 374;107564, ул. Миллионная, д. 5/7
Школа № 384;121353, ул. Беловежская, д. 67а
Школа № 423;Федеративный проспект, д. 1а
Школа № 429 «Соколиная гора»;проспект Будённого, д. 15а
Школа № 444;ул. Нижняя Первомайская, д. 14
Школа № 448;пос. Акулово, д. 43а
Школа № 460;109559, ул. Белореченская, д. 11
Школа № 463;115470, ул. Судостроительная, д. 10, к. 1
Школа № 480 им. В. В. Талалихина;109029, ул. Ср. Калитниковская, д. 22, стр. 1
Школа № 491;109439, Москва, ул. Юных Ленинцев («Кузьминки»)*В настоящее время школа находится в «Марьино».
Школа № 491 «Марьино»;109651, Новочеркасский бул., д. 17-19
Школа № 498
Школа № 504;Варшавское шоссе, д. 67
Школа № 507;ул. Садовники, д. 13
Школа № 508;ул. Элеваторная, д. 4, корп. 2
Школа № 518;Садовническая набережная, д. 37, стр. 1
Школа Спектр;ул. Гурьянова , д. 71
Школа № 534;Ореховый проезд, д. 17, корп. 2
Школа № 536;ул. Азовская, д. 41
Школа № 538 имени С. В. Гришина;ул. Каховка, д. 19, корп. 2
Школа № 544;Каширское шоссе, д. 116, корп. 3
Школа № 547;ул. Малая Тульская, д. 15
Школа № 548 «Царицыно»;ул. Домодедовская, д. 35, корп. 2
Школа № 554;ул. Перекопская, д. 7, корп. 3
Школа № 556;ул. Днепропетровская, д. 33а
Специальная (коррекционная) школа № 571;ул. Большая Очаковская, д. 25
Школа № 597 «Новое поколение»;ул. Петрозаводская, д. 19а
Школа № 609;Зеленоград, корп. 314
Школа № 618;Зеленоград, корп. 429а
Школа № 625;ул. Шверника, д. 17, корп. 2
Школа № 626 имени Н. И. Сац;Севастопольский проспект, д. 43а
Школа № 627 имени генерала Д. Д. Лелюшенко;ул. Дубининская, д. 42
Школа № 629;Варшавское шоссе, д. 156б
Школа № 630 имени дважды Героя Советского Союза Г. П. Кравченко;Варшавское шоссе, д. 12
Школа № 641 имени Сергея Есенина;Волгоградский проспект, д. 66, корп. 4
Школа № 648 имени Героя Российской Федерации А. Г. Карлова;ул. Флотская, д. 11
Школа № 654 имени А. Д. Фридмана;ул. Юных Ленинцев, д. 35, корп. 2
Школа № 656 имени А. С. Макаренко;Бескудниковский бульвар, д. 29
Школа № 657;ул. Подольских Курсантов, д. 16а
Школа № 664;ул. Главная, д. 13
Школа № 667 имени Героя Советского Союза К. Я. Самсонова;Востряковский проезд, д. 13а
Школа № 705;СЗАО;ул. Кулакова, д. 25, корп. 2
Школа № 709;ул. 7-я Северная линия, д. 13
Школа № 710 им. Народного учителя СССР В. К. Жудова;ул. Студенческая ул., д. 29
Школа № 717;ул. Зои и Александра Космодемьянских, д. 4а
Школа № 719;Зеленоград, корп. 921а
Школа № 727;3-й Лихачёвский переулок, д. 2а
Школа самоопределения № 734 имени А. Н. Тубельского;Сиреневый бульвар, д. 58а
Школа № 760 имени А. П. Маресьева;ул. Лосевская, д. 9
Школа № 763;ул. Стартовая, д. 27, корп.3
Школа № 771;ул. Софьи Ковалевской, д. 8а
Школа № 777 имени Героя Советского Союза Е. В. Михайлова;ул. Маёвок, д. 4
Школа № 806;ул. Полоцкая, д. 21
Школа № 814;ул. Веерная, д. 5 корп. 3
Школа № 825;ул. Окская, д. 16, корп. 3
Школа № 827;ул. Туристская, д. 19, корп. 5
Школа № 830;ул. Большая Набережная, д. 23
Школа № 842;город Зеленоград, корп. 142
Школа № 843;ул. Мичуринский Проспект, Олимпийская Деревня, д. 23
Школа № 851;ул. Кировоградская, д. 8г
Школа № 853;город Зеленоград, корп. 913а
Школа № 854;город Зеленоград, корп. 603а
Школа № 867;ул. Борисовские Пруды, дом 20, корп. 3
Школа № 875;пр-т Вернадского, д. 101, корп. 5
Школа № 878;Шипиловский проезд, д. 37, корп. 2
Школа № 883;ул. Планерная, д. 5, корп. 2
Школа № 887;ул. Молдавская, д. 6, корп. 2
Школа № 896;ул. Воронежская, д. 26, корп. 4
Школа № 902 «Диалог»;ул. Ряжская, д. 11
Школа № 904;Кавказский бульвар, д. 16, корп. 2
Школа № 920;ул. Перовская, д. 37
Школа № 922;ул. Молостовых, д. 6а
Школа № 924;ул. Газопровод, д. 5а
Школа № 935;ул. Липецкая, д. 15 корп. 2
Школа № 937 имени Героя Российской Федерации А. В. Перова;ул. Маршала Захарова, д. 25, корп. 2
Школа № 939;Борисовский проезд, д. 40, корп. 2
Школа № 947;ул. Лебедянская, д. 16
Школа № 949;ул. Воронежская, д. 46, корп. 3
Школа № 950;ул. Декабристов, д. 26а
Школа № 953;Шенкурский проезд, д. 15
Школа № 956;ул. Заповедная, д. 22
Школа № 962;ул. Санникова, д. 3, корп. 3
